"before","after"
"l'alliance de toutes les tribus celtes autour de lui, en obtenant des ""otages"" (fils ou filles de rois) de chaque tribu, garants de leur fidélité et de leur alliance.","l' alliance de toutes les tribus celtes autour de lui , en obtenant des "" otages "" fils ou filles de rois de chaque tribu , garants de leur fidélité et de leur alliance . "
"La victoire romaine à Alésia (Alise-Sainte-Reine) en Bourgogne, à la suite de la construction de pièges et fortifications sur plusieurs centaines de mètres par les légionnaires romains, conduira à l'emprisonnement de Vercingétorix à Rome et à la création de la ville d'Augustonemetum (ancêtre de Clermont-Ferrand), probablement sur l'un des sites arvernes existants.","la victoire romaine à Alésia Alise-Sainte-Reine en Bourgogne , à la suite de la construction de pièges et fortifications sur plusieurs centaines de mètres par les légionnaires romains , conduira à l' emprisonnement de Vercingétorix à Rome et à la création de la ville d' Augustonemetum ancêtre de Clermont-Ferrand , probablement sur l' un des sites arvernes existants . "
"On y a retrouvé récemment le pied de d'une statue monumentale de 4, représentant probablement un dieu ou empereur romain.","on y a retrouvé récemment le pied de d' une statue monumentale de quatre , représentant probablement un dieu ou empereur romain . "
"Au , Sidoine Apollinaire, noble arverne et premier évêque de Clermont, fournit un témoignage sur l'Auvergne de la fin de l'Antiquité.","au , Sidoine Apollinaire , noble arverne et premier évêque de Clermont , fournit un témoignage sur l' Auvergne de la fin de l' Antiquité. "
"=== L'Auvergne féodale ===Au , l'Auvergne est disputée entre Francs et Aquitains.","gale gale gale l' Auvergne féodale gale gale gale Au , l' Auvergne est disputée entre Francs et Aquitains . "
"Conquise par les Carolingiens, elle est intégrée un temps au royaume d'Aquitaine, sauf un alleu formant le comté d'Aurillac qui est donné au père de Géraud d'Aurillac et qui ne relèvera plus du comté d'Auvergne, mais directement du roi.","conquise par les Carolingiens , elle est intégrée un temps au royaume d' Aquitaine , sauf un alleu formant le comté d' Aurillac qui est donné au père de Géraud d' Aurillac et qui ne relèvera plus du comté d' Auvergne , mais directement du roi . "
"Sous les Carolingiens, l'Auvergne comporte cinq comtés secondaires avec une viguerie particulière (Clermont, Turluron, Brioude, Tallende, Carlat (""comitatus Cartladensis"")).","sous les Carolingiens , l' Auvergne comporte cinq comtés secondaires avec une viguerie particulière Clermont , Turluron , Brioude , Tallende , Carlat "" comitatus Cartladensis "" . "
"L'autre partie du Cantal constitue le domaine direct de l'Abbaye d'Aurillac, dont une partie a été inféodée aux vicomtes de Millau et forme le Carladès.","l' autre partie du Cantal constitue le domaine direct de l' Abbaye d' Aurillac , dont une partie a été inféodée aux vicomtes de Millau et forme le Carladès. "
"L'évêque de Clermont soustrait sa ville à l'autorité des comtes qui favorisent du coup le développement de Montferrand toute proche.","l' évêque de Clermont soustrait sa ville à l' autorité des comtes qui favorisent du coup le développement de Montferrand toute proche . "
"Plus tard, une usurpation du pouvoir comtal aboutit à la création par le comte légitime dépossédé d’un Dauphiné d’Auvergne indépendant du comté.","plus tard , une usurpation du pouvoir comtal aboutit à la création par le comte légitime dépossédé d' un Dauphiné d' Auvergne indépendant du comté. "
"Tôt cependant, le pouvoir royal intervient dans la région.","Tôt cependant , le pouvoir royal intervient dans la région . "
"=== Temps modernes ===Un siècle après la guerre de Cent Ans, l'Auvergne plonge dans les guerres de religion.","gale gale gale temps modernes gale gale gale Un siècle après la guerre de Cent Ans , l' Auvergne plonge dans les guerres de religion . "
"Le capitaine Merle en particulier, solidement implanté dans le Gévaudan voisin, rançonne Issoire mais échoue devant Saint-Flour.","le capitaine Merle en particulier , solidement implanté dans le Gévaudan voisin , rançonne Issoire mais échoue devant Saint-Flour . "
"C'est ainsi que la ville d'Aurillac est prise, et son abbaye entièrement détruite.","c' est ainsi que la ville d' Aurillac est prise , et son abbaye entièrement détruite . "
"En son temps, Philippe Auguste n’avait pu complètement soumettre la région : le comte s’était maintenu à Vic-le-Comte.","en son temps , Philippe Auguste n' avait pu complètement soumettre la région le comte s' était maintenu à Vic-le-Comte . "
"La reine de France Catherine de Médicis, hérite par sa mère du dernier réduit du comté, ce qui permet l’intégration au domaine royal de ce dernier fief féodal en plein cœur de l’Auvergne.","la reine de France Catherine de Médicis , hérite par sa mère du dernier réduit du comté , ce qui permet l' intégration au domaine royal de ce dernier fief féodal en plein coeur de l' Auvergne . "
"En 1665, Louis XIV instaure temporairement à Clermont et au Puy une cour criminelle d'exception, les Grands jours d'Auvergne, afin de faire droit à de nombreuses plaintes de personnes du peuple victimes des violences et des exactions de certains fonctionnaires ou membres de la noblesse d'Auvergne.","en mille six cent soixante-cinq , Louis the 14T.H. instaure temporairement à Clermont et au Puy une cour criminelle d' exception , les Grands jours d' Auvergne , afin de faire droit à de nombreuses plaintes de personnes du peuple victimes des violences et des exactions de certains fonctionnaires ou membres de la noblesse d' Auvergne . "
"Pendant la Seconde Guerre mondiale, Vichy fut le siège du gouvernement de l'État français.","pendant la Seconde Guerre mondiale , Vichy fut le siège du gouvernement de l' État français . "
"== Économie ==Malgré son faible marché local, la région d'Auvergne a développé de nombreux champions nationaux et internationaux, tels que Michelin, Limagrain (semences), Aubert et Duval, le groupe Centre-France-La Montagne (presse quotidienne régionale), l'eau minérale Volvic (groupe Danone) et de nombreuses PME dynamiques autour des deux universités et des grandes écoles (ingénieurs, médecins et école de commerce) de sa capitale, Clermont-Ferrand.","gale gale économie gale gale Malgré son faible marché local , la région d' Auvergne a développé de nombreux champions nationaux et internationaux , tels que Michelin , Limagrain semences , Aubert et Duval , le groupe Centre-France-La Montagne presse quotidienne régionale , l' eau minérale Volvic groupe Danone et de nombreuses P.M.E. dynamiques autour des deux universités et des grandes écoles ingénieurs , médecins et école de commerce de sa capitale , Clermont-Ferrand . "
"La plupart de ces champions exportent plus de 75 % de leur production dans le monde entier.","la plupart de ces champions exportent plus de soixante-quinze pour cents de leur production dans le monde entier . "
"=== Industrie ===L'Auvergne est une région relativement industrielle, puisque la part de l'industrie dans la population active y représente 22 % ( emplois) contre 18 % pour la moyenne nationale.","gale gale gale industrie gale gale gale L.' Auvergne est une région relativement industrielle , puisque la part de l' industrie dans la population active y représente vingt-deux pour cents emplois contre dix-huit pour cents pour la moyenne nationale . "
"Ce gentilé est formé sur le nom celte de la rivière Aisne : ""Axona"".","ce gentilé est formé sur le nom celte de la rivière Aisne "" Axona "" . "
"Selon le recensement de 2003, la surface boisée du département est de hectares, soit 16,6 % pour une moyenne métropolitaine de 27,4 %.","selon le recensement de deux mille trois , la surface boisée du département est de hectares , soit seize virgule six pour cents pour une moyenne métropolitaine de vingt-sept virgule quatre pour cents . "
"Cours d'eau : l'Escaut (qui prend sa source près de Le Catelet), l'Aisne, la Marne, l'Ourcq, la Vesle, la Somme qui prend naissance à Fonsomme, l'Oise, la Serre.","cours d' eau l' Escaut qui prend sa source près de Le Catelet , l' Aisne , la Marne , l' Ourcq , la Vesle , la Somme qui prend naissance à Fonsomme , l' Oise , la Serre . "
"Dans le sud du département, on trouve le Surmelin, la Verdonnelle et la Dhuys (cette rivière est canalisée dans l'Aqueduc de la Dhuis de pour alimenter en eau potable Paris depuis le octobre 1865, ainsi que le parc de loisirs de Marne-la-Vallée plus récemment).","dans le sud du département , on trouve le Surmelin , la Verdonnelle et la Dhuys cette rivière est canalisée dans l' Aqueduc de la Dhuis de pour alimenter en eau potable Paris depuis le octobre dix-huit cent soixante-cinq , ainsi que le parc de loisirs de Marne-la-Vallée plus récemment . "
"Le département est traversé par trois lignes de chemin de fer au départ de Paris, les deux premières de la gare du Nord et la dernière de la gare de l'Est :* la ligne de Paris à Maubeuge, qui dessert notamment les villes de Chauny, Tergnier et Saint-Quentin ;* la ligne de Paris à Laon, qui dessert notamment les villes de Soissons, d'Anizy-le-Château et de Laon (préfecture) ;* la ligne de Paris à Strasbourg, qui dessert notamment la ville de Château-Thierry.","le département est traversé par trois lignes de chemin de fer au départ de Paris , les deux premières de la gare du Nord et la dernière de la gare de l' Est la ligne de Paris à Maubeuge , qui dessert notamment les villes de Chauny , Tergnier et Saint-Quentin , la ligne de Paris à Laon , qui dessert notamment les villes de Soissons , d' Anizy -le Château et de Laon préfecture , la ligne de Paris à Strasbourg , qui dessert notamment la ville de Château-Thierry . "
"Il fut constitué de territoires issus de la Champagne (Brie, Omois), de l'Île-de-France (Laonnois, Soissonnais, Noyonnais, Valois) et de la Picardie (Thiérache, Vermandois).","il fut constitué de territoires issus de la Champagne Brie , Omois , de l' Île -de France Laonnois , Soissonnais , Noyonnais , Valois et de la Picardie Thiérache , Vermandois . "
"== Politique ==Mélange de zones rurales et de villes ouvrières, lieu de résidence pour certaines familles travaillant à Paris ou en Île-de-France, l'Aisne est depuis de longues années un département plutôt orienté vers la gauche, avec un Conseil général à majorité de gauche depuis 1998, ainsi que la majorité des sièges de députés représentant le département à l'Assemblée nationale.","gale gale politique gale gale Mélange de zones rurales et de villes ouvrières , lieu de résidence pour certaines familles travaillant à Paris ou en Île-de-France , l' Aisne est depuis de longues années un département plutôt orienté vers la gauche , avec un Conseil général à majorité de gauche depuis dix-neuf cent quatre-vingt-dix-huit , ainsi que la majorité des sièges de députés représentant le département à l' Assemblée nationale . "
"Les petites cités du nord du département comme Guise, Hirson ou Vervins et la ville cheminote de Tergnier sont des points d'implantation des partis de gauche.","les petites cités du nord du département comme Guise , Hirson ou Vervins et la ville cheminote de Tergnier sont des points d' implantation des partis de gauche . "
"== Administration ==L'Aisne est divisé en 5 arrondissements qui sont subdivisés en 42 cantons.","gale gale administration gale gale L.' Aisne est divisé en cinq arrondissements qui sont subdivisés en quarante-deux cantons . "
"Le département compte 816 communes et 5 circonscriptions législatives.","le département compte huit cent seize communes et cinq circonscriptions législatives . "
"Les villages sont très nombreux et plutôt petits.","les villages sont très nombreux et plutôt petits . "
"L'Aisne a perdu un peu de sa population dans la seconde moitié du , en raison de l'exode rural, pourtant limité par le développement industriel du nord du département (Saint-Quentinois, Chaunois, Thiérache).","l' Aisne a perdu un peu de sa population dans la seconde moitié du , en raison de l' exode rural , pourtant limité par le développement industriel du nord du département Saint-Quentinois , Chaunois , Thiérache . "
"Très affecté par la Première Guerre mondiale, le département a vu sa population augmenter légèrement pour retrouver à peu près son niveau de 1900.","très affecté par la Première Guerre mondiale , le département a vu sa population augmenter légèrement pour retrouver à peu près son niveau de dix-neuf cent zéro . "
"Depuis une trentaine d'années, le déclin industriel a entraîné une stagnation de la population ( habitants en 1968, en 1999).","depuis une trentaine d' années , le déclin industriel a entrainé une stagnation de la population habitants en dix-neuf cent soixante-huit , en dix-neuf cent quatre-vingt-dix-neuf . "
"Seul le sud-ouest du département, proche de l'agglomération parisienne, connaît encore la croissance démographique.","seul le sud-ouest du département , proche de l' agglomération parisienne , connait encore la croissance démographique . "
"On trouve également des spécialités typiquement picardes, comme la « ficelle », sorte de crêpe roulée additionnée de fromage fondu, béchamel, jambon et champignons.","on trouve également des spécialités typiquement picardes , comme la ficelle , sorte de crêpe roulée additionnée de fromage fondu , béchamel , jambon et champignons . "
"Le foie gras est un produit développé en Thiérache, il est de qualité.","le foie gras est un produit développé en Thiérache , il est de qualité. "
"* La culture de fruits rouges (fraises) commence à s'y développer.","la culture de fruits rouges fraises commence à s' y développer . "
"* Le cidre de Thiérache et son eau-de-vie, la fabrication de la bière (surtout artisanale) donnent au département de l'Aisne une réelle identité.","le cidre de Thiérache et son eau-de-vie , la fabrication de la bière surtout artisanale donnent au département de l' Aisne une réelle identité. "
"En 2007, une grande infrastructure d'hébergement touristique, Center Parcs, s'est implanté sur le lac de l'Ailette, à deux pas de nombreux points touristiques comme la cathédrale de Laon, le chemin des Dames et le château de Coucy.","en deux mille sept , une grande infrastructure d' hébergement touristique , Center Parcs , s' est implanté sur le lac de l' Ailette , à deux pas de nombreux points touristiques comme la cathédrale de Laon , le chemin des Dames et le château de Coucy . "
"=== Les résidences secondaires ===En 2008, le département comptait 4,1 % de résidences secondaires.","gale gale gale les résidences secondaires gale gale gale En deux mille huit , le département comptait quatre virgule un pour cents de résidences secondaires . "
"Ce tableau indique les principales communes de l'Aisne dont les résidences secondaires et occasionnelles dépassent 10 % des logements totaux.","ce tableau indique les principales communes de l' Aisne dont les résidences secondaires et occasionnelles dépassent dix pour cents des logements totaux . "
"L'Allier ( ) est un département français (situé dans la région d'Auvergne) dont la préfecture est Moulins.","l' Allier est un département français situé dans la région d' Auvergne dont la préfecture est Moulins . "
"L'Insee et la Poste lui attribuent le code 03.","l' Insee et la Poste lui attribuent le code trois . "
"== Géographie ==Le département de l'Allier est formé de la presque totalité de l'ancien Bourbonnais.","gale gale Géographie gale gale Le département de l' Allier est formé de la presque totalité de l' ancien Bourbonnais . "
"Il fait partie de la région Auvergne et est limitrophe des départements du Cher, de la Nièvre, de Saône-et-Loire, de la Loire, du Puy-de-Dôme et de la Creuse.","il fait partie de la région Auvergne et est limitrophe des départements du Cher , de la Nièvre , de Saône-et-Loire , de la Loire , du Puy-de-Dôme et de la Creuse . "
"=== Relief ===Le bocage bourbonnais couvre la plus grande partie ouest (englobant la forêt de Tronçais) et centrale du département, suivi de la Sologne bourbonnaise pour la partie est nord-est, la Montagne bourbonnaise (proche de Vichy), qui est le toit du Bourbonnais avec le Montoncel (culminant à ), enfin le sud de la province, la Limagne bourbonnaise, qui s’étend de Varennes à Gannat, et en est le grenier.","gale gale gale relief gale gale gale Le bocage bourbonnais couvre la plus grande partie ouest englobant la forêt de Tronçais et centrale du département , suivi de la Sologne bourbonnaise pour la partie est nord-est , la Montagne bourbonnaise proche de Vichy , qui est le toit du Bourbonnais avec le Montoncel culminant à , enfin le sud de la province , la Limagne bourbonnaise , qui s' étend de Varennes à Gannat , et en est le grenier . "
";Le Bocage bourbonnais: Au nord, et ne dépassant guère les d'altitude, le bocage bourbonnais occupe un bon tiers du département, avec deux déclinaisons, centre et ouest (pour la partie comprise entre le Val de Cher et les limites occidentales du territoire).",", le Bocage bourbonnais au nord , et ne dépassant guère les d' altitude , le bocage bourbonnais occupe un bon tiers du département , avec deux déclinaisons , centre et ouest pour la partie comprise entre le Val de Cher et les limites occidentales du territoire . "
"Le bocage est notamment remarquable pour sa richesse en forêts et bois, dont la célèbre forêt de Tronçais mais aussi les forêts de Moladier, Bagnolet, Civrais, Soulongis, Grosbois, Dreuille, Lespinasse ou la Suave.","le bocage est notamment remarquable pour sa richesse en forêts et bois , dont la célèbre forêt de Tronçais mais aussi les forêts de Moladier , Bagnolet , Civrais , Soulongis , Grosbois , Dreuille , Lespinasse ou la Suave . "
";La Sologne bourbonnaise: À l'est, reliant le Val d’Allier et les frontières avec la Nièvre et la Saône-et-Loire, la Sologne Bourbonnaise présente un bel équilibre entre prairies, cultures, bois et étangs, ce compromis entre agriculture et espaces semi-sauvages constituant un écrin très favorable à la faune et à la flore.",", la Sologne bourbonnaise à l' est , reliant le Val d' Allier et les frontières avec la Nièvre et la Saône-et-Loire , la Sologne Bourbonnaise présente un bel équilibre entre prairies , cultures , bois et étangs , ce compromis entre agriculture et espaces semi -sauvages constituant un écrin très favourable à la faune et à la flore . "
";La Montagne bourbonnaise: Dans son prolongement au sud, la Montagne Bourbonnaise prend naissance dès le Puy Saint-Ambroise (), près de Saint-Léon, pour ensuite s’affirmer sur tout le massif de l’Assise et des Bois Noirs, à la limite du Puy-de-Dôme et de la Loire, jalonnée par le Puy de Montoncel (), point culminant de l’Allier.",", la Montagne bourbonnaise dans son prolongement au sud , la Montagne Bourbonnaise prend naissance dès le Puy Saint-Ambroise , près de Saint-Léon , pour ensuite s' affirmer sur tout le massif de l' Assise et des Bois Noirs , à la limite du Puy-de-Dôme et de la Loire , jalonnée par le Puy de Montoncel , point culminant de l' Allier . "
";La Limagne bourbonnaise: Communément rassemblées sous la dénomination de Val d’Allier, la Limagne et la Forterre s’étendent de part et d’autre de la rivière, entre Vichy et Saint-Pourçain, avec une qualité essentielle, la fertilité.",", la Limagne bourbonnaise communément rassemblées sous la dénomination de Val d' Allier , la Limagne et la Forterre s' étendent de part et d' autre de la rivière , entre Vichy et Saint-Pourçain , avec une qualité essentielle , la fertilité. "
"La première citée, entre Sioule et Allier, s'inscrit dans le triangle Gannat/Escurolles/Saint-Pourçain, tandis que la Forterre couvre le canton de Varennes-sur-Allier, avec une pointe jusqu’à Jaligny.","la première citée , entre Sioule et Allier , s' inscrit dans le triangle Gannat Escurolles Saint-Pourçain , tandis que la Forterre couvre le canton de Varennes-sur-Allier , avec une pointe jusqu' à Jaligny . "
"=== Hydrographie ===Cours d'eau : à l'ouest le Cher, en son centre l'Allier et son affluent la Sioule, à l'est la Loire et son affluent la Besbre.","gale gale gale hydrographie gale gale gale Cours d' eau à l' ouest le Cher , en son centre l' Allier et son affluent la Sioule , à l' est la Loire et son affluent la Besbre . "
"Largement ouvert aux influences atlantiques le département bénéficie d’un climat doux et humide, dominé par les vents d’ouest, ce qui contribue un peu plus à le démarquer de ses cousins auvergnats.","largement ouvert aux influences atlantiques le département bénéficie d' un climat doux et humide , dominé par les vents d' ouest , ce qui contribue un peu plus à le démarquer de ses cousins auvergnats . "
"=== Démographie ===Au janvier 1997, la population de l'Allier était estimée à habitants ce qui représente une densité moyenne de 50 /km².","gale gale gale Démographie gale gale gale Au janvier mille neuf cent quatre-vingt-dix-sept , la population de l' Allier était estimée à habitants ce qui représente une densité moyenne de cinquante km . "
"De nombreuses régions ont une densité inférieure à 20 /km².","de nombreuses régions ont une densité inférieure à vingt km . "
"Au janvier 2009, la population légale est de habitants.","au janvier deux mille neuf , la population légale est de habitants . "
"L'Allier compte trois villes importantes, Montluçon, Vichy et Moulins par ordre de taille.","l' Allier compte trois villes importantes , Montluçon , Vichy et Moulins par ordre de taille . "
"Le reste du département comprend quelques petites villes et bourgs dispersés, principalement le long des rivières.","le reste du département comprend quelques petites villes et bourgs dispersés , principalement le long des rivières . "
"Jusque vers la fin du pourtant, la population augmenta grâce au développement de ses villes (industries à Montluçon et à Moulins, thermalisme à Vichy) qui compensa l'exode rural.","jusque vers la fin du pourtant , la population augmenta grâce au développement de ses villes industries à Montluçon et à Moulins , thermalisme à Vichy qui compensa l' exode rural . "
"Après les pertes de la Première Guerre mondiale, la population se stabilisa, puis réaugmenta un peu dans les années 1960.","après les pertes de la Première Guerre mondiale , la population se stabilisa , puis réaugmenta un peu dans les années mille neuf cent soixante . "
"Depuis, en raison de la poursuite de l'exode rural et surtout du déclin des industries anciennes, la population a diminué et vieilli régulièrement, passant de habitants en 1968 à en 2006.","depuis , en raison de la poursuite de l' exode rural et surtout du déclin des industries anciennes , la population a diminué et vieilli régulièrement , passant de habitants en dix-neuf cent soixante-huit à en deux mille six . "
"Jean-Luc Marx, préfet du Lot, a été nommé le juin 2011 préfet de l'Allier, en remplacement de Pierre Monzani, nommé le 25 mai préfet de Seine-et-Marne.","Jean-Luc Marx , préfet du Lot , a été nommé le juin deux mille onze préfet de l' Allier , en remplacement de Pierre Monzani , nommé le vingt-cinq mai préfet de Seine-et-Marne . "
"Pierre Monzani était préfet de l'Allier depuis le 14 janvier 2009.","Pierre Monzani était préfet de l' Allier depuis le quatorze janvier deux mille neuf . "
"Né le 12 mai 1958 à Villerupt (Meurthe-et-Moselle), Pierre Monzani est titulaire d'une agrégation d'histoire et d'un DEA d'histoire et civilisation.","Né le douze mai mille neuf cent cinquante-huit à Villerupt Meurthe-et-Moselle , Pierre Monzani est titulaire d' une agrégation d' histoire et d' un D.E.A. d' histoire et civilisation . "
"Ancien élève de l’École Normale Supérieure (Saint-Cloud) et de l’ENA, il avait été depuis août 2006 directeur de l’INHES (Institut National des Hautes Études de Sécurité).","ancien élève de l' École Normale Supérieure Saint-Cloud et de l' E.N.A. , il avait été depuis août deux mille six directeur de l' INHES Institut National des Hautes Études de Sécurité . "
"Les élections législatives de 2007 avaient envoyé à l'Assemblée trois socialistes (Bernard Lesterlin à Montluçon, Jean Mallot à Saint-Pourçain et Guy Chambefort à Moulins) et un PRG (Gérard Charasse à Vichy).","les élections législatives de deux mille sept avaient envoyé à l' Assemblée trois socialistes Bernard Lesterlin à Montluçon , Jean Mallot à Saint-Pourçain et Guy Chambefort à Moulins et un P.R.G. Gérard Charasse à Vichy . "
"L'URB (Union Républicaine pour le Bourbonnais, droite) avait dirigé le département entre 2001 et 2008, les dernières années d'une seule voix d'avance.","l' U.R.B. Union Républicaine pour le Bourbonnais , droite avait dirigé le département entre deux mille un et deux mille huit , les dernières années d' une seule voix d' avance . "
"Désormais, la coalition de gauche est aux manettes, avec également un avantage d'une seule voix (10 PC, 6 PS, 2 PRG, 18 sièges au total), face à 17 conseillers généraux de l'URB.","Désormais , la coalition de gauche est aux manettes , avec également un avantage d' une seule voix dix P.C. , six P.S. , deux P.R.G. , dix-huit sièges au total , face à dix-sept conseillers généraux de l' U.R.B. . "
"La petite ville de Commentry a ainsi la particularité d'avoir été la première ville de France et du monde à élire, en 1882, un maire socialiste : Christophe Thivrier.","la petite ville de Commentry a ainsi la particularité d' avoir été la première ville de France et du monde à élire , en mille huit cent quatre-vingt-deux , un maire socialiste Christophe Thivrier . "
"Une autre figure locale, Pierre Brizon, député en 1910, est typiquement le député des métayers.","une autre figure locale , Pierre Brizon , député en mille neuf cent dix , est typiquement le député des métayers . "
"Plus anciennement, on peut relever que Ledru-Rollin y fait un très bon score en 1848 (14 %), ainsi que les candidats démocrates et socialistes l’année suivante (44 % des voix, contre 35 % en France).","plus anciennement , on peut relever que Ledru-Rollin y fait un très bon score en dix-huit cent quarante-huit  quatorze pour cents , ainsi que les candidats démocrates et socialistes l' année suivante quarante-quatre pour cents des voix , contre trente-cinq pour cents en France . "
"De même, la résistance au coup d’État du 2 décembre 1851 est importante, après une tentative de soutien à l’insurrection de juin 1849.","de même , la résistance au coup d' État du secondécembre mille huit cent cinquante et un est importante , après une tentative de soutien à l' insurrection de juin mille huit cent quarante-neuf . "
"Après des scores voisins de 15 % des inscrits de 1893 à 1906, les socialistes montent à 31 % des inscrits (42 % des exprimés) en 1910, score maintenu en 1914L'Allier est encore aujourd'hui une des terres du communisme rural (encore 14,66 % aux régionales de 2004, soit le meilleur score du parti derrière la Somme), dans une cohabitation parfois difficile avec le parti socialiste.","après des scores voisins de quinze pour cents des inscrits de mille huit cent quatre-vingt-treize à mille neuf cent six , les socialistes montent à trente et un pour cents des inscrits quarante-deux pour cents des exprimés en mille neuf cent dix , score maintenu en 1914L.' Allier est encore aujourd'hui une des terres du communisme rural encore quatorze virgule soixante-six pour cents aux régionales de deux mille quatre , soit le meilleur score du parti derrière la Somme , dans une cohabitation parfois difficile avec le parti socialiste . "
"Celui-ci, qui se répand seulement au siècle, n’est pas contrebalancé par la vente des biens nationaux à la Révolution.","celui -ci , qui se répand seulement au siècle , n' est pas contrebalancé par la vente des biens nationaux à la Révolution . "
"Au , les grandes propriétés (100 ha et plus) occupent environ la moitié des terres, et même plus de 70 % dans le nord du département.","au , les grandes propriétés cent hectares et plus occupent environ la moitié des terres , et même plus de soixante-dix pour cents dans le nord du département . "
"Dans le sud, la petite propriété domine.","dans le sud , la petite propriété domine . "
"Le métayage se maintient comme forme de mise en valeur des terres, puisqu’il concerne encore 40 % des terres en 1892 (7 % en France).","le métayage se maintient comme forme de mise en valeur des terres , puisqu' il concerne encore quarante pour cents des terres en dix-huit cent quatre-vingt-douze  sept pour cents en France . "
